DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-06-17,Nigel Tufnel,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,TomaS CZ,Level 15 Crypt,Sand Chest,17,Golden_Hearts
2025-06-17,Dariing,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Ekinox,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Gromuro,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sascha 1887,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Brandemet,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Nigel Tufnel,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Ekinox,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sascha 1887,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Dariing,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Maedfanir,Level 20 rare Crypt,Rare Dragon Chest,126,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sharpdragon,Level 25 Crypt,Elegant Chest,275,Golden_Hearts
2025-06-17,Compugotchi,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Bera,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sascha 1887,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Gromuro,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Girtheous Maximus,Level 15 Crypt,Fire Chest,17,Golden_Hearts
2025-06-17,ludo,Level 20 Crypt,Sand Chest,84,Golden_Hearts
2025-06-17,Ekinox,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Bera,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,TomaS CZ,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Bera,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sascha 1887,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,ludo,Level 20 epic Crypt,Barbarian Chest,168,Golden_Hearts
2025-06-17,Lerlin,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Maedfanir,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Bera,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Dariing,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Sascha 1887,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,ludo,Level 15 rare Crypt,Rare Dragon Chest,25,Golden_Hearts
2025-06-17,Compugotchi,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Ekinox,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,OPI,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
2025-06-17,Nigel Tufnel,Tartaros Crypt,Tartaros Chest,36,Golden_Hearts
