DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-01-13,Serdriilas,Level 15 Crypt,Orc Chest,17,MY_CLAN
2025-01-13,Marching Turnip,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2025-01-13,Grazius,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2025-01-13,ELOHIM,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2025-01-13,Serdriilas,Level 15 Crypt,Orc Chest,17,MY_CLAN
2025-01-13,Marching Turnip,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2025-01-13,Grazius,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2025-01-13,ELOHIM,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2025-01-13,Serdriilas,Level 15 Crypt,Orc Chest,17,MY_CLAN
2025-01-13,Marching Turnip,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2025-01-13,Grazius,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2025-01-13,ELOHIM,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2025-01-13,Marching Turnip,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2025-01-13,Grazius,Level 10 Crypt,Mayan Chest,4,MY_CLAN
2025-01-13,ELOHIM,Level 5 Crypt,Cobra Chest,1,MY_CLAN
2025-01-13,Grazius,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2025-01-13,Kiama,Level 20-24 Vault of the Ancients,Fire Chest,25,MY_CLAN
2025-01-13,Maedfanir,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2025-01-13,Ballazan,Level 10 Crypt,Fire Chest,4,MY_CLAN
2025-01-13,Ballazan,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2025-01-13,Girtheous Maximus,Level 10 Crypt,Sand Chest,4,MY_CLAN
2025-01-13,Serdriilas,Level 15 Crypt,Cobra Chest,17,MY_CLAN
2025-01-13,Maedfanir,Level 10 Crypt,Infernal Chest,4,MY_CLAN
2025-01-13,Ballazan,Level 10 Crypt,Bone Chest,4,MY_CLAN
2025-01-13,ELOHIM,Level 20-24 Vault of the Ancients,Fire Chest,25,MY_CLAN
2025-01-13,Marching Turnip,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2025-01-13,Noli,Level 20 Crypt,Forgotten Chest,84,MY_CLAN
2025-01-13,ammar,Level 10 Crypt,Forgotten Chest,4,MY_CLAN
2025-01-13,tledil,Level 10 Crypt,Cobra Chest,4,MY_CLAN
2025-01-13,Adolbine,Level 15 Crypt,Elegant Chest,17,MY_CLAN
2025-01-13,Gralbine,Level 15 Crypt,Mayan Chest,17,MY_CLAN
2025-01-13,Girtheous Maximus,Level 20-24 Vault of the Ancients,Fire Chest,25,MY_CLAN
2025-01-13,ammar,Level 10 rare Crypt,Rare Dragon Chest,6,MY_CLAN
2025-01-13,tledil,Level 10 Crypt,Barbarian Chest,4,MY_CLAN
2025-01-13,tledil,Level 15 Crypt,Infernal Chest,17,MY_CLAN
2025-01-13,Kiama,Level 15 Crypt,Mayan Chest,17,MY_CLAN
2025-01-13,cat lady,Level 20 rare Crypt,Rare Dragon Chest,126,MY_CLAN
2025-01-13,Adolbine,Level 15 Crypt,Fire Chest,17,MY_CLAN
2025-01-13,Marching Turnip,Level 15 rare Crypt,Rare Dragon Chest,25,MY_CLAN
2025-01-13,cat lady,Level 20 Crypt,Mayan Chest,84,MY_CLAN
2025-01-13,Girtheous Maximus,Level 15-19 Vault of the Ancients,Fire Chest,20,MY_CLAN
2025-01-13,cat lady,Level 20 rare Crypt,Rare Dragon Chest,126,MY_CLAN
2025-01-13,cat lady,Level 20 Crypt,Fire Chest,84,MY_CLAN
2025-01-13,Pinto,Level 10 Crypt,Elegant Chest,4,MY_CLAN
2025-01-13,Girtheous Maximus,Level 15 Crypt,Bone Chest,17,MY_CLAN
2025-01-13,Elbrinan,Level 5 Crypt,Gnome Workshop Chest,1,MY_CLAN
2025-01-13,Elbrinan,Level 5 Crypt,Fire Chest,1,MY_CLAN
2025-01-13,ELOHIM,Level 20-24 Vault of the Ancients,Fire Chest,25,MY_CLAN
2025-01-13,Guyren,Arena,Gladiator's Chest,2,MY_CLAN
2025-01-13,Railfiring,Level 10 Crypt,Fire Chest,4,MY_CLAN
2025-01-13,Railfiring,Level 10 Crypt,Stone Chest,4,MY_CLAN
