DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-18 00:00:00,Zombie Tony,Level 20 Citadel,Elven Citadel Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 20 Crypt,Mayan Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Zombie Tony,Level 20 Citadel,Cursed Citadel Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Zombie Tony,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Breadandroses,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 20 epic Crypt,Cobalt Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 20 epic Crypt,Barbarian Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Jack Oswald,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-18 00:00:00,Sudoki,Level 25 Citadel,Elven Citadel Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Klaudia,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Mabrinod,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Klaudia,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Klaudia,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Beydeland,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,Beydeland,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Kigam,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Showman,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Masa Madre Momuro,Level 20 epic Crypt,Minotaur Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Masa Madre Momuro,Level 15 epic Crypt,Minotaur Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Natia Steel,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Beydeland,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Beydeland,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sudoki,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Taugal,Level 20 epic Crypt,Turtle Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Taugal,Level 15 epic Crypt,Harpy Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Taugal,Level 10 Citadel,Elven Citadel Chest,1,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Fire Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-18 00:00:00,JoseA,Level 20 epic Crypt,Cobalt Chest,25,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,JoseA,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Fire Chest,15,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 20 Crypt,Barbarian Chest,20,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 20 Crypt,Mayan Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,IPollo,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sabar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,De Majico,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Lava Lynx Zius,Level 20 Crypt,Bone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Sudoki,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Sudoki,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
