DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-18 00:00:00,Ragnar,Level 10 rare Crypt,Rare Dragon Chest,3,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 17 heroic Monster,Elven Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Zombie Tony,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Showman,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Showman,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 16 heroic Monster,Undead Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,AKH,Bank,Wooden Chest,10,Strike_for_Cake
2025-08-18 00:00:00,AKH,Bank,Wooden Chest,10,Strike_for_Cake
2025-08-18 00:00:00,AKH,Bank,Wooden Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Showman,Arena,Gladiator's Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Breadandroses,Level 20 epic Crypt,Trillium Chest,25,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Gnome Workshop Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Thorgal,Level 10 Crypt,Orc Chest,1,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 Crypt,Forgotten Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Thorgal,Level 10 Crypt,Gnome Workshop Chest,1,Strike_for_Cake
2025-08-18 00:00:00,Marcelo lord of war,Level 15 Crypt,Barbarian Chest,15,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-18 00:00:00,Showman,Arena,Gladiator's Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Thorgal,Level 10 Crypt,Forgotten Chest,1,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-18 00:00:00,Marcelo lord of war,Level 15 epic Crypt,Ancient Warrior's Chest,10,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Mayan Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Marcelo lord of war,Level 15 epic Crypt,Scorpion Chest,10,Strike_for_Cake
2025-08-18 00:00:00,Masa Madre Momuro,Level 15 Crypt,Stone Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Breadandroses,Mimic Chest,Pacified Mimic Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,PanekPL,Level 20 Crypt,Gnome Workshop Chest,20,Strike_for_Cake
2025-08-18 00:00:00,PanekPL,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-18 00:00:00,PanekPL,Level 20 Crypt,Fire Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Thorgal,Level 10 Crypt,Bone Chest,1,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Kosak,Level 25 Crypt,Stone Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Reiner,Mimic Chest,Pacified Mimic Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Souffleblue,Level 15 Crypt,Sand Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Fire Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Sand Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Marcelo lord of war,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Showman,Arena,Gladiator's Chest,5,Strike_for_Cake
2025-08-18 00:00:00,Chrisbreezy,Level 20 Crypt,Infernal Chest,20,Strike_for_Cake
2025-08-18 00:00:00,BigT,Level 25 Crypt,Cobra Chest,36,Strike_for_Cake
2025-08-18 00:00:00,Gririm,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Breadandroses,Level 20 epic Crypt,Titansteel Chest,25,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Souffleblue,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Fire Chest,20,Strike_for_Cake
2025-08-18 00:00:00,Brianna,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
