DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-25 20:22:17,Kalabar,Level 16 heroic Monster,Undead Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Kalabar,Level 16 heroic Monster,Undead Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Art,Bank,Silver Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Art,Bank,Silver Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Art,Bank,Silver Chest,20,Strike_for_Cake
2025-08-25 20:22:17,BigT,Arena,Gladiator's Chest,5,Strike_for_Cake
2025-08-25 20:22:17,BigT,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Kalabar,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Kosak,Level 20 epic Crypt,Scorpion Chest,25,Strike_for_Cake
2025-08-25 20:22:17,Nimvenilas,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Nimvenilas,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-25 20:22:17,Adoragar,Level 15 Crypt,Gnome Workshop Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Adoragar,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Adoragar,Level 15 Crypt,Infernal Chest,15,Strike_for_Cake
2025-08-25 20:22:17,BigT,Level 25 Crypt,Stone Chest,36,Strike_for_Cake
2025-08-25 20:22:17,Mabrinod,Level 15 Crypt,Cobra Chest,15,Strike_for_Cake
2025-08-25 20:22:17,BigT,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-25 20:22:17,Chrisw333,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-25 20:22:17,BigT,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-25 20:22:17,Chrisw333,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-25 20:22:17,Kosak,Level 20 rare Crypt,Rare Dragon Chest,35,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 epic Crypt,Ancient Warrior's Chest,10,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 epic Crypt,Minotaur Chest,10,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 Crypt,Forgotten Chest,15,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 Crypt,Mayan Chest,15,Strike_for_Cake
2025-08-25 20:22:17,AnyaBlu2,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Showman,Level 15 Crypt,Bone Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Showman,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-25 20:22:17,Léthysa Stellara,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Léthysa Stellara,Level 20 Crypt,Forgotten Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Léthysa Stellara,Level 20 Crypt,Cobra Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 10 Crypt,Infernal Chest,1,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 10 Crypt,Elegant Chest,1,Strike_for_Cake
2025-08-25 20:22:17,Léthysa Stellara,Level 15 epic Crypt,Priest's Chest,10,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 15 epic Crypt,Cobalt Chest,10,Strike_for_Cake
2025-08-25 20:22:17,Léthysa Stellara,Level 20 epic Crypt,Braided Chest,25,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 10 Crypt,Orc Chest,1,Strike_for_Cake
2025-08-25 20:22:17,Nice n Spicy Sers,Level 15 rare Crypt,Rare Dragon Chest,5,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 10 Crypt,Elegant Chest,1,Strike_for_Cake
2025-08-25 20:22:17,Nice n Spicy Sers,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-25 20:22:17,Nice n Spicy Sers,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-25 20:22:17,Nice n Spicy Sers,Level 20 Crypt,Stone Chest,20,Strike_for_Cake
2025-08-25 20:22:17,Thorgal,Level 10 Crypt,Gnome Workshop Chest,1,Strike_for_Cake
2025-08-25 20:22:17,Nice n Spicy Sers,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
