DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-08-28 14:03:49,Nimvenilas,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Enneen,Level 15 Crypt,Orc Chest,15,Strike_for_Cake
2025-08-28 14:03:49,Nimvenilas,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Periwyn,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Periwyn,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 Crypt,Orc Chest,36,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 Crypt,Orc Chest,36,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Reiner,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Periwyn,Level 15 Citadel,Elven Citadel Chest,10,Strike_for_Cake
2025-08-28 14:03:49,Masa Madre Momuro,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 Crypt,Orc Chest,36,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 20 Crypt,Orc Chest,20,Strike_for_Cake
2025-08-28 14:03:49,Masa Madre Momuro,Level 20 Crypt,Elegant Chest,20,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 Crypt,Orc Chest,36,Strike_for_Cake
2025-08-28 14:03:49,Masa Madre Momuro,Level 15 Crypt,Elegant Chest,15,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Reiner,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Fankayel,Level 25 rare Crypt,Rare Dragon Chest,50,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Kalabar,Level 20 Crypt,Mayan Chest,20,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Lava Lynx Zius,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,Magepick,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
2025-08-28 14:03:49,BigT,Tartaros Crypt,Tartaros Chest,25,Strike_for_Cake
